86426 ,  She should ask a few native Americans what their take on this is. , CAG
90194 ,   Go home you\u2019re drunk!!!    \U0001f44a\U0001f1fa\U0001f1f8\U0001f44a  , OAG
16820 , Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace.       , NAG
62688 ,  Someone should'veTaken" this piece of shit to a volcano. \U0001f602" , CAG
43605 ,   Obama wanted liberals and; illegals to move into red states , NAG
97670 ,  Liberals are all Kookoo !!! , OAG
77444 ,   Oh noes! Tough shit. , CAG
52415 ,  was literally just talking about this lol all mass shootings like that have been set ups. it\u2019s propaganda used to divide us on major issues like gun control and terrorism , OAG
45157 ,  Buy more icecream!!! , NAG
13384 ,  Canada doesn\u2019t need another CUCK! We already have enough   f**king up our great country!   , OAG
82776 ,    It\u2019s not my fault you support gun control , NAG
42992 ,  What\u2019s the difference between  and    One of these men admitted to groping a  year old girl years ago.  The other is going to be  to the SCJ             , NAG
28414 ,  you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!!   , OAG
54920 ,    It should scare every American!  She is playing Hockey with a warped puck! , NAG
56392 ,                                                   I like my soda like I like my boarders with a lot of ICE. , NAG
86735 ,  you are also the king of taste , NAG
95686 ,    \U0001f3b6 Sing like no one is listening  \u2665\ufe0f Love like you've never been hurt  \u2714\ufe0f Vote GOP when no one is watching  \U0001f649  And don't listen to Liberals' dirt  , NAG
71446 , /:  The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.\u201d   " , NAG
23958 ,  Besides Jax\u2019s mom and maybe Ope he is hands down my favorite he\u2019s like the only good person on the show \U0001f602 , NAG
28195 ,    gun control! That is all these kids are asking for! , OAG
56117 ,     LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!             , OAG
67757 ,   You are correct. , NAG
12681 ,   Kind of like when conservatives wanna associate everyone to their left as communist antifa members? , OAG
82904 ,   Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it \U0001f914 , OAG
63236 ,  Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?  , NAG
77665 ,  Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance.. , OAG
83484 , South Korean Official: \u201cLeaders will discuss specific denuke measures in Pyongyang\u201d"     " , NAG
74932 ,   You can tell he is a hooper too , NAG
91252 ,  I feel like he is better chasing the title , NAG
25440 ,    She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn\u2019t bash them.  She has a positive message.  So who is dividing the left? , CAG
81613 ,  Glad to see your friends are supporting Metis rights as much as you are supporting Zionists.  , NAG
82333 ,  Yes you are but I was asking what is it about the movie ?\U0001f937\u200d\u2642\ufe0f\U0001f440 , NAG
12609 , The only thing the Democrats have is lying and stalling to stop Trump from being .  What have they done for you lately.     , OAG
13017 ,  No wonder he is being apologetic and more social these day.... , NAG
18129 ,    Any updates re ending your blatant  as  and;  proves you are         , NAG
70380 ,            Do you know what\u2019s going to happen now?  I\u2019m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa. , NAG
12108 ,                                                   You are not very smart are you? Why do you think Gen Flynn\u2019s sentencing keeps being rescheduled?  , OAG
14726 ,    That's expected if you placate the violent leftists/terrorists.   , OAG
74358 ,  Blow hard , NAG
82599 ,    That means you are a max lvl. Twitter user and maybe should try a new game , NAG
40212 ,   Please explain what controlled opposition" means.  As for Bernier escaping he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be." , NAG
78367 ,      Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem. , NAG
66596 , . Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT. , NAG
70999 , .      PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.     matters.      , NAG
36026 ,   Ppl who say I'm not racist" are racist. You Are A Racist. Repeat after me" , NAG
29439 ,  Kathy the Patriot\U0001f5fd  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE and; EVERYTHING FOR AMERICANS!!     and;        and;      \U0001f600 \U0001f5fd\U0001f5fd\U0001f5fd \U0001f600 , NAG
74477 ,  Wow you liberals really don\u2019t have a sense of humor.\U0001f644 , NAG
49845 ,  I'M SO FUCKING READY , NAG
32305 ,  Holy moly!! If the catholic people haven't been awakened by this .....    , NAG
77243 ,  Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc , NAG
73205 ,    What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen. , NAG
47311 ,  Me too! Her wedding was the best! She is very pretty! , NAG
48553 ,   No conflict here\u2014don\u2019t look at this.   involved in violent left agenda of Antifa also. , NAG
75689 ,     any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes , NAG
84102 ,  out of  British people are basically full-on racists.  out of  voters vote for the Conservatives. Coincidence!???!??? , OAG
10607 ,  advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC A  , NAG
43913 ,   Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material? , NAG
98992 ,  Fuck off , OAG
